profession,nation,created,count
Early Years Practitioner,England,2021-04-01,53.0
Early Years Practitioner,England,2021-04-02,31.5
Early Years Practitioner,England,2021-04-03,21.333333333333332
Early Years Practitioner,England,2021-04-04,16.75
Early Years Practitioner,England,2021-04-06,20.4
Early Years Practitioner,England,2021-04-07,23.833333333333332
Early Years Practitioner,England,2021-04-08,27.571428571428573
Early Years Practitioner,England,2021-04-09,29.0
Early Years Practitioner,England,2021-04-10,26.77777777777778
Early Years Practitioner,England,2021-04-11,24.2
Early Years Practitioner,England,2021-04-12,27.727272727272727
Early Years Practitioner,England,2021-04-13,28.083333333333332
Early Years Practitioner,England,2021-04-14,28.615384615384617
Early Years Practitioner,England,2021-04-15,28.5
Early Years Practitioner,England,2021-04-16,29.933333333333334
Early Years Practitioner,England,2021-04-17,28.3125
Early Years Practitioner,England,2021-04-18,26.941176470588236
Early Years Practitioner,England,2021-04-19,30.11111111111111
Early Years Practitioner,England,2021-04-20,31.63157894736842
Early Years Practitioner,England,2021-04-21,32.8
Early Years Practitioner,England,2021-04-22,36.04761904761905
Early Years Practitioner,England,2021-04-23,37.09090909090909
Early Years Practitioner,England,2021-04-24,36.56521739130435
Early Years Practitioner,England,2021-04-25,35.208333333333336
Early Years Practitioner,England,2021-04-26,35.88
Early Years Practitioner,England,2021-04-27,36.88461538461539
Early Years Practitioner,England,2021-04-28,37.77777777777778
Early Years Practitioner,England,2021-04-29,38.214285714285715
Early Years Practitioner,England,2021-04-30,38.89655172413793
Early Years Practitioner,England,2021-05-01,37.3448275862069
Early Years Practitioner,England,2021-05-02,37.06896551724138
Early Years Practitioner,England,2021-05-03,37.41379310344828
Early Years Practitioner,England,2021-05-04,40.06896551724138
Early Years Practitioner,England,2021-05-05,40.666666666666664
Early Years Practitioner,England,2021-05-06,41.03333333333333
Early Years Practitioner,England,2021-05-07,42.0
Early Years Practitioner,England,2021-05-08,40.56666666666667
Early Years Practitioner,England,2021-05-09,39.96666666666667
Early Years Practitioner,England,2021-05-10,42.3
Early Years Practitioner,England,2021-05-11,44.4
Early Years Practitioner,England,2021-05-12,44.43333333333333
Early Years Practitioner,England,2021-05-13,46.03333333333333
Early Years Practitioner,England,2021-05-14,46.3
Early Years Practitioner,England,2021-05-15,45.666666666666664
Early Years Practitioner,England,2021-05-16,44.233333333333334
Early Years Practitioner,England,2021-05-17,46.1
Early Years Practitioner,England,2021-05-18,47.5
Early Years Practitioner,England,2021-05-19,47.333333333333336
