profession,nation,salary_type,salary
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,18341.71
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,18341.71
Early Years Practitioner,England,Min,18341.71
Early Years Practitioner,England,Min,18812.01
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,11757.5
Early Years Practitioner,England,Min,24455.61
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,21780.78
Early Years Practitioner,England,Min,21780.78
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,21398.66
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,21751.38
Early Years Practitioner,England,Min,18341.71
Early Years Practitioner,England,Min,18341.71
Early Years Practitioner,England,Min,20932.47
Early Years Practitioner,England,Min,18341.71
Early Years Practitioner,England,Min,22339.26
Early Years Practitioner,England,Min,19029.52
Early Years Practitioner,England,Min,18341.71
Early Years Practitioner,England,Min,19969.53
Early Years Practitioner,England,Min,41574.53
Early Years Practitioner,England,Min,21398.66
Early Years Practitioner,England,Min,21398.66
Early Years Practitioner,England,Min,16813.23
Early Years Practitioner,England,Min,18341.71
Early Years Practitioner,England,Min,28805.88
Early Years Practitioner,England,Min,19717.33
Early Years Practitioner,England,Min,19717.33
Early Years Practitioner,England,Min,18341.71
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,26366.2
Early Years Practitioner,England,Min,22339.26
Early Years Practitioner,England,Min,20267.58
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,19870.18
Early Years Practitioner,England,Min,18812.01
Early Years Practitioner,England,Min,18812.01
Early Years Practitioner,England,Min,18812.01
Early Years Practitioner,England,Min,23515.01
Early Years Practitioner,England,Min,21163.51
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,17636.26
Early Years Practitioner,England,Min,29393.76
Early Years Practitioner,England,Min,28218.01
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,20428.07
Early Years Practitioner,,Min,20428.07
Early Years Practitioner,,Min,32921.01
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,24455.61
Early Years Practitioner,England,Min,44678.51
Early Years Practitioner,England,Min,18341.71
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,19987.76
Early Years Practitioner,England,Min,30569.51
Early Years Practitioner,,Min,17048.38
Early Years Practitioner,England,Min,24690.76
Early Years Practitioner,England,Min,22339.26
Early Years Practitioner,England,Min,15284.75
Early Years Practitioner,England,Min,25866.51
Early Years Practitioner,England,Min,24690.76
Early Years Practitioner,England,Min,24690.76
Early Years Practitioner,England,Min,23515.01
Early Years Practitioner,England,Min,20428.07
Early Years Practitioner,England,Min,29393.76
Early Years Practitioner,England,Min,23515.01
Early Years Practitioner,England,Min,24690.76
Early Years Practitioner,England,Min,23515.01
Early Years Practitioner,England,Min,23515.01
Early Years Practitioner,England,Min,21398.66
Early Years Practitioner,England,Min,41151.26
Early Years Practitioner,England,Min,30569.51
Early Years Practitioner,England,Min,21163.51
Early Years Practitioner,England,Min,21163.51
Early Years Practitioner,England,Min,21163.51
Early Years Practitioner,England,Min,18341.71
Early Years Practitioner,England,Min,18341.71
Early Years Practitioner,England,Min,22339.26
Early Years Practitioner,England,Min,10581.75
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,20634.42
Early Years Practitioner,England,Min,18341.71
Early Years Practitioner,England,Min,25067.0
Early Years Practitioner,England,Min,22339.26
Early Years Practitioner,Wales,Min,19870.18
Early Years Practitioner,England,Min,36683.41
Early Years Practitioner,England,Min,19870.18
Early Years Practitioner,England,Min,19992.46
Early Years Practitioner,England,Min,19992.46
Early Years Practitioner,England,Min,19992.46
Early Years Practitioner,England,Min,20428.07
Early Years Practitioner,England,Min,24102.88
Early Years Practitioner,England,Min,22560.3
Early Years Practitioner,England,Min,26320.35
Early Years Practitioner,England,Min,41151.26
Early Years Practitioner,England,Min,22574.41
Early Years Practitioner,England,Min,17118.93
Early Years Practitioner,England,Min,21092.96
Early Years Practitioner,England,Min,21163.51
Early Years Practitioner,England,Min,18576.86
Early Years Practitioner,England,Min,10592.34
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,20634.42
Early Years Practitioner,England,Min,24690.76
Early Years Practitioner,England,Min,21163.51
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,19987.76
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,21398.66
Early Years Practitioner,England,Min,21398.66
Early Years Practitioner,England,Min,35272.51
Early Years Practitioner,England,Min,39740.36
Early Years Practitioner,England,Min,30216.78
Early Years Practitioner,England,Min,39740.36
Early Years Practitioner,England,Min,37808.6
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,43561.55
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,21780.78
Early Years Practitioner,England,Min,28511.95
Early Years Practitioner,England,Min,22633.19
Early Years Practitioner,England,Min,20978.33
Early Years Practitioner,England,Min,27630.13
Early Years Practitioner,England,Min,28218.01
Early Years Practitioner,England,Min,32510.67
Early Years Practitioner,England,Min,29393.76
Early Years Practitioner,England,Min,21551.5
Early Years Practitioner,England,Min,29393.76
Early Years Practitioner,England,Min,31845.2
Early Years Practitioner,England,Min,22107.63
Early Years Practitioner,England,Min,22669.64
Early Years Practitioner,England,Min,21398.66
Early Years Practitioner,England,Min,21163.51
Early Years Practitioner,England,Min,21398.66
Early Years Practitioner,England,Min,21398.66
Early Years Practitioner,England,Min,18812.01
Early Years Practitioner,England,Min,25219.85
Early Years Practitioner,England,Min,20428.07
Early Years Practitioner,England,Min,20634.42
Early Years Practitioner,England,Min,21163.51
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,21666.14
Early Years Practitioner,England,Min,28805.88
Early Years Practitioner,England,Min,20634.42
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,
Early Years Practitioner,England,Min,21163.51
Early Years Practitioner,England,Min,22280.47
Early Years Practitioner,England,Min,25866.51
Early Years Practitioner,England,Min,19987.76
Early Years Practitioner,England,Min,252198.45
Early Years Practitioner,England,Min,252198.45
Early Years Practitioner,England,Min,252198.45
Early Years Practitioner,England,Min,252198.45
Early Years Practitioner,England,Min,252198.45
Early Years Practitioner,England,Min,31845.2
Early Years Practitioner,England,Min,19992.46
Early Years Practitioner,England,Min,22574.41
